"Section:PL-Transportation Asset Inventory, Construction Projects (2 Reqs)"
717445,Medium,,Integrate with the ERP project management function and Primavera to capture and provide tracking of current and planned  construction projects by location and impacted assets.
717446,Medium,,Provide ability to integrate with the WVDOT CAD environment to link to design plans where/when available.
