"Section:FIN-Asset Management, Capital Projects (3 Reqs)"
705968,Medium,,Identify/record all costs associated with the construction or purchase/acquisition of an asset which can be capitalized.
705969,Medium,,"Identify, record, and depreciate betterments associated with an asset, including optional unique identification of betterments  associated with component units."
705970,Medium,,"Capture and maintain construction work in progress information and provides the ability to recognize fixed/capital assets when  they are substantially completed, regardless of whether the project has been completed."
