"Section:PL-Transportation Asset Inventory, Roadside Facilities (9 Reqs)"
717247,Medium,,Capture and track a range of roadside facilities.
717248,Medium,,Maintain an inventory of park and ride facilities.
717249,Medium,,Maintain an inventory of rest areas.
717250,Medium,,Maintain an inventory of welcome centers.
717251,Medium,,Maintain an inventory of travel plazas.
717252,Medium,,Maintain an inventory of scenic overlooks.
717253,Medium,,Maintain an inventory of weigh stations.
717254,Medium,,Maintain an inventory of brake check areas.
717255,Medium,,Maintain an inventory of roadside parks.
