"Section:PL-Safety Management, Crash Report Roadway Attributes (8 Reqs)"
716750,High,,"Store, display and make available for analysis roadway attributes captured on the crash report."
716751,High,,"Store, display and utilize posted speed limit."
716752,High,,"Store, display and utilize roadway description."
716753,High,,"Store, display and utilize total number of lanes."
716754,High,,"Store, display and utilize traffic control device type."
716755,High,,"Store, display and utilize whether traffic control was functioning properly."
716756,High,,"Store, display and utilize horizontal alignment."
716757,High,,"Store, display and utilize vertical alignment."
