"Section:FIN-Budget Development, Prepare Capital Budget (8 Reqs)"
706450,Medium,,Capture effective start and end dates for capital budgets.
706451,Medium,,Capture capital budgets.
706452,Medium,,Manage a one year appropriation period for capital budget.
706453,Medium,,"Capture, identify, track and view a list of earmarks within the line item."
706454,Medium,,Report on earmarks.
706455,Medium,,Automatically flag and track status of earmarks in the State-Wide Financial system.
706456,Medium,,Report from project inception to end date capturing lifetime statistics.
706457,Medium,,Report on effective dates and start and end dates for capital projects.
